model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,70B,-4,17,30,40,Biology,neutral,319,0,32,351,90.88,default,0,
llama3,70B,-4,17,30,40,Business,neutral,169,0,391,560,30.18,default,0,
llama3,70B,-4,17,30,40,Chemistry,neutral,124,0,384,508,24.41,default,0,
llama3,70B,-4,17,30,40,ComputerScience,neutral,39,0,21,60,65.0,default,0,
llama3,70B,-4,17,30,40,EECS,neutral,25,0,51,76,32.89,default,0,
llama3,70B,-4,17,30,40,Economics,neutral,284,0,116,400,71.0,default,0,
llama3,70B,-4,17,30,40,ElectricCircuits,neutral,22,0,45,67,32.84,default,0,
llama3,70B,-4,17,30,40,ElectricalMachines,neutral,46,0,56,102,45.1,default,0,
llama3,70B,-4,17,30,40,Electromagnetics,neutral,30,0,70,100,30.0,default,0,
llama3,70B,-4,17,30,40,ElectronicCommunications,neutral,43,0,72,115,37.39,default,0,
llama3,70B,-4,17,30,40,Finance,neutral,25,0,49,74,33.78,default,0,
llama3,70B,-4,17,30,40,FluidMechanics,neutral,15,0,50,65,23.08,default,0,
llama3,70B,-4,17,30,40,Genetics,neutral,77,0,70,147,52.38,default,0,
llama3,70B,-4,17,30,40,HeatTransfer,neutral,24,0,42,66,36.36,default,0,
llama3,70B,-4,17,30,40,MachineDesign,neutral,16,0,54,70,22.86,default,0,
llama3,70B,-4,17,30,40,Math,neutral,89,0,255,344,25.87,default,0,
llama3,70B,-4,17,30,40,Mechanics,neutral,11,0,22,33,33.33,default,0,
llama3,70B,-4,17,30,40,Optics,neutral,47,0,146,193,24.35,default,0,
llama3,70B,-4,17,30,40,OrganicChemistry,neutral,5,0,12,17,29.41,default,0,
llama3,70B,-4,17,30,40,PhysicalChemistry,neutral,49,0,167,216,22.69,default,0,
llama3,70B,-4,17,30,40,Physics,neutral,113,0,382,495,22.83,default,0,
llama3,70B,-4,17,30,40,Psychology,neutral,257,0,48,305,84.26,default,0,
llama3,70B,-4,17,30,40,Thermodynamics,neutral,53,0,116,169,31.36,default,0,
llama3,70B,-4,17,30,40,TransportPhenomena,neutral,48,0,100,148,32.43,default,0,
llama3,70B,-4,17,30,40,abstract algebra,neutral,27,0,56,83,32.53,default,0,
llama3,70B,-4,17,30,40,anatomy,neutral,49,0,30,79,62.03,default,0,
llama3,70B,-4,17,30,40,astronomy,neutral,53,0,27,80,66.25,default,0,
llama3,70B,-4,17,30,40,atkins,neutral,17,0,84,101,16.83,default,0,
llama3,70B,-4,17,30,40,business ethics,neutral,29,0,14,43,67.44,default,0,
llama3,70B,-4,17,30,40,calculus,neutral,9,0,31,40,22.5,default,0,
llama3,70B,-4,17,30,40,chemmc,neutral,12,0,21,33,36.36,default,0,
llama3,70B,-4,17,30,40,class,neutral,3,0,42,45,6.67,default,0,
llama3,70B,-4,17,30,40,clinical knowledge,neutral,43,0,29,72,59.72,default,0,
llama3,70B,-4,17,30,40,college biology,neutral,54,0,25,79,68.35,default,0,
llama3,70B,-4,17,30,40,college chemistry,neutral,22,0,41,63,34.92,default,0,
llama3,70B,-4,17,30,40,college computer science,neutral,36,0,40,76,47.37,default,0,
llama3,70B,-4,17,30,40,college mathematics,neutral,17,0,57,74,22.97,default,0,
llama3,70B,-4,17,30,40,college medicine,neutral,32,0,16,48,66.67,default,0,
llama3,70B,-4,17,30,40,college physics,neutral,24,0,44,68,35.29,default,0,
llama3,70B,-4,17,30,40,computer security,neutral,26,0,20,46,56.52,default,0,
llama3,70B,-4,17,30,40,conceptual physics,neutral,95,0,41,136,69.85,default,0,
llama3,70B,-4,17,30,40,diff,neutral,15,0,35,50,30.0,default,0,
llama3,70B,-4,17,30,40,econometrics,neutral,40,0,45,85,47.06,default,0,
llama3,70B,-4,17,30,40,electrical engineering,neutral,36,0,31,67,53.73,default,0,
llama3,70B,-4,17,30,40,elementary mathematics,neutral,126,0,178,304,41.45,default,0,
llama3,70B,-4,17,30,40,formal logic,neutral,37,0,61,98,37.76,default,0,
llama3,70B,-4,17,30,40,fund,neutral,10,0,57,67,14.93,default,0,
llama3,70B,-4,17,30,40,global facts,neutral,22,0,62,84,26.19,default,0,
llama3,70B,-4,17,30,40,high school biology,neutral,107,0,33,140,76.43,default,0,
llama3,70B,-4,17,30,40,high school chemistry,neutral,69,0,46,115,60.0,default,0,
llama3,70B,-4,17,30,40,high school computer science,neutral,37,0,25,62,59.68,default,0,
llama3,70B,-4,17,30,40,high school european history,neutral,26,0,43,69,37.68,default,0,
llama3,70B,-4,17,30,40,high school geography,neutral,50,0,15,65,76.92,default,0,
llama3,70B,-4,17,30,40,high school government and politics,neutral,44,0,7,51,86.27,default,0,
llama3,70B,-4,17,30,40,high school macroeconomics,neutral,143,0,73,216,66.2,default,0,
llama3,70B,-4,17,30,40,high school mathematics,neutral,48,0,194,242,19.83,default,0,
llama3,70B,-4,17,30,40,high school microeconomics,neutral,90,0,53,143,62.94,default,0,
llama3,70B,-4,17,30,40,high school physics,neutral,52,0,75,127,40.94,default,0,
llama3,70B,-4,17,30,40,high school psychology,neutral,123,0,46,169,72.78,default,0,
llama3,70B,-4,17,30,40,high school statistics,neutral,67,0,76,143,46.85,default,0,
llama3,70B,-4,17,30,40,high school us history,neutral,46,0,37,83,55.42,default,0,
llama3,70B,-4,17,30,40,high school world history,neutral,61,0,23,84,72.62,default,0,
llama3,70B,-4,17,30,40,human aging,neutral,42,0,44,86,48.84,default,0,
llama3,70B,-4,17,30,40,human sexuality,neutral,33,0,20,53,62.26,default,0,
llama3,70B,-4,17,30,40,international law,neutral,30,0,25,55,54.55,default,0,
llama3,70B,-4,17,30,40,jurisprudence,neutral,26,0,17,43,60.47,default,0,
llama3,70B,-4,17,30,40,logical fallacies,neutral,53,0,20,73,72.6,default,0,
llama3,70B,-4,17,30,40,machine learning,neutral,49,0,41,90,54.44,default,0,
llama3,70B,-4,17,30,40,management,neutral,28,0,9,37,75.68,default,0,
llama3,70B,-4,17,30,40,marketing,neutral,53,0,22,75,70.67,default,0,
llama3,70B,-4,17,30,40,matter,neutral,6,0,41,47,12.77,default,0,
llama3,70B,-4,17,30,40,medical genetics,neutral,34,0,20,54,62.96,default,0,
llama3,70B,-4,17,30,40,miscellaneous,neutral,163,0,102,265,61.51,default,0,
llama3,70B,-4,17,30,40,moral disputes,neutral,80,0,59,139,57.55,default,0,
llama3,70B,-4,17,30,40,nutrition,neutral,110,0,69,179,61.45,default,0,
llama3,70B,-4,17,30,40,philosophy,neutral,76,0,54,130,58.46,default,0,
llama3,70B,-4,17,30,40,prehistory,neutral,103,0,42,145,71.03,default,0,
llama3,70B,-4,17,30,40,professional accounting,neutral,94,0,101,195,48.21,default,0,
llama3,70B,-4,17,30,40,professional law,neutral,446,0,557,1003,44.47,default,0,
llama3,70B,-4,17,30,40,professional medicine,neutral,190,0,64,254,74.8,default,0,
llama3,70B,-4,17,30,40,professional psychology,neutral,217,0,107,324,66.98,default,0,
llama3,70B,-4,17,30,40,public relations,neutral,27,0,25,52,51.92,default,0,
llama3,70B,-4,17,30,40,quan,neutral,7,0,25,32,21.88,default,0,
llama3,70B,-4,17,30,40,security studies,neutral,53,0,34,87,60.92,default,0,
llama3,70B,-4,17,30,40,sociology,neutral,33,0,19,52,63.46,default,0,
llama3,70B,-4,17,30,40,stat,neutral,26,0,45,71,36.62,default,0,
llama3,70B,-4,17,30,40,thermo,neutral,9,0,46,55,16.36,default,0,
llama3,70B,-4,17,30,40,us foreign policy,neutral,15,0,5,20,75.0,default,0,
