model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,14B,4,20,31,25,Biology,neutral,312,0,39,351,88.89,default,0,
qwen3,14B,4,20,31,25,Business,neutral,176,0,384,560,31.43,default,0,
qwen3,14B,4,20,31,25,Chemistry,neutral,150,0,358,508,29.53,default,0,
qwen3,14B,4,20,31,25,ComputerScience,neutral,41,0,19,60,68.33,default,0,
qwen3,14B,4,20,31,25,EECS,neutral,23,0,53,76,30.26,default,0,
qwen3,14B,4,20,31,25,Economics,neutral,289,0,111,400,72.25,default,0,
qwen3,14B,4,20,31,25,ElectricCircuits,neutral,18,0,49,67,26.87,default,0,
qwen3,14B,4,20,31,25,ElectricalMachines,neutral,39,0,63,102,38.24,default,0,
qwen3,14B,4,20,31,25,Electromagnetics,neutral,37,0,63,100,37.0,default,0,
qwen3,14B,4,20,31,25,ElectronicCommunications,neutral,46,0,69,115,40.0,default,0,
qwen3,14B,4,20,31,25,Finance,neutral,23,0,51,74,31.08,default,0,
qwen3,14B,4,20,31,25,FluidMechanics,neutral,24,0,41,65,36.92,default,0,
qwen3,14B,4,20,31,25,Genetics,neutral,76,0,71,147,51.7,default,0,
qwen3,14B,4,20,31,25,HeatTransfer,neutral,22,0,44,66,33.33,default,0,
qwen3,14B,4,20,31,25,MachineDesign,neutral,22,0,48,70,31.43,default,0,
qwen3,14B,4,20,31,25,Math,neutral,94,0,250,344,27.33,default,0,
qwen3,14B,4,20,31,25,Mechanics,neutral,15,0,18,33,45.45,default,0,
qwen3,14B,4,20,31,25,Optics,neutral,53,0,140,193,27.46,default,0,
qwen3,14B,4,20,31,25,OrganicChemistry,neutral,8,0,9,17,47.06,default,0,
qwen3,14B,4,20,31,25,PhysicalChemistry,neutral,61,0,155,216,28.24,default,0,
qwen3,14B,4,20,31,25,Physics,neutral,153,0,342,495,30.91,default,0,
qwen3,14B,4,20,31,25,Psychology,neutral,245,0,60,305,80.33,default,0,
qwen3,14B,4,20,31,25,Thermodynamics,neutral,62,0,107,169,36.69,default,0,
qwen3,14B,4,20,31,25,TransportPhenomena,neutral,35,0,113,148,23.65,default,0,
qwen3,14B,4,20,31,25,abstract algebra,neutral,39,0,44,83,46.99,default,0,
qwen3,14B,4,20,31,25,anatomy,neutral,40,0,39,79,50.63,default,0,
qwen3,14B,4,20,31,25,astronomy,neutral,53,0,27,80,66.25,default,0,
qwen3,14B,4,20,31,25,atkins,neutral,19,0,82,101,18.81,default,0,
qwen3,14B,4,20,31,25,business ethics,neutral,22,0,21,43,51.16,default,0,
qwen3,14B,4,20,31,25,calculus,neutral,13,0,27,40,32.5,default,0,
qwen3,14B,4,20,31,25,chemmc,neutral,11,0,22,33,33.33,default,0,
qwen3,14B,4,20,31,25,class,neutral,8,0,37,45,17.78,default,0,
qwen3,14B,4,20,31,25,clinical knowledge,neutral,44,0,28,72,61.11,default,0,
qwen3,14B,4,20,31,25,college biology,neutral,55,0,24,79,69.62,default,0,
qwen3,14B,4,20,31,25,college chemistry,neutral,25,0,38,63,39.68,default,0,
qwen3,14B,4,20,31,25,college computer science,neutral,35,0,41,76,46.05,default,0,
qwen3,14B,4,20,31,25,college mathematics,neutral,24,0,50,74,32.43,default,0,
qwen3,14B,4,20,31,25,college medicine,neutral,31,0,17,48,64.58,default,0,
qwen3,14B,4,20,31,25,college physics,neutral,22,0,46,68,32.35,default,0,
qwen3,14B,4,20,31,25,computer security,neutral,23,0,23,46,50.0,default,0,
qwen3,14B,4,20,31,25,conceptual physics,neutral,92,0,44,136,67.65,default,0,
qwen3,14B,4,20,31,25,diff,neutral,15,0,35,50,30.0,default,0,
qwen3,14B,4,20,31,25,econometrics,neutral,37,0,48,85,43.53,default,0,
qwen3,14B,4,20,31,25,electrical engineering,neutral,34,0,33,67,50.75,default,0,
qwen3,14B,4,20,31,25,elementary mathematics,neutral,164,0,140,304,53.95,default,0,
qwen3,14B,4,20,31,25,formal logic,neutral,48,0,50,98,48.98,default,0,
qwen3,14B,4,20,31,25,fund,neutral,15,0,52,67,22.39,default,0,
qwen3,14B,4,20,31,25,global facts,neutral,17,0,67,84,20.24,default,0,
qwen3,14B,4,20,31,25,high school biology,neutral,106,0,34,140,75.71,default,0,
qwen3,14B,4,20,31,25,high school chemistry,neutral,68,0,47,115,59.13,default,0,
qwen3,14B,4,20,31,25,high school computer science,neutral,40,0,22,62,64.52,default,0,
qwen3,14B,4,20,31,25,high school european history,neutral,27,0,42,69,39.13,default,0,
qwen3,14B,4,20,31,25,high school geography,neutral,45,0,20,65,69.23,default,0,
qwen3,14B,4,20,31,25,high school government and politics,neutral,38,0,13,51,74.51,default,0,
qwen3,14B,4,20,31,25,high school macroeconomics,neutral,129,0,87,216,59.72,default,0,
qwen3,14B,4,20,31,25,high school mathematics,neutral,71,0,171,242,29.34,default,0,
qwen3,14B,4,20,31,25,high school microeconomics,neutral,99,0,44,143,69.23,default,0,
qwen3,14B,4,20,31,25,high school physics,neutral,62,0,65,127,48.82,default,0,
qwen3,14B,4,20,31,25,high school psychology,neutral,113,0,56,169,66.86,default,0,
qwen3,14B,4,20,31,25,high school statistics,neutral,80,0,63,143,55.94,default,0,
qwen3,14B,4,20,31,25,high school us history,neutral,35,0,48,83,42.17,default,0,
qwen3,14B,4,20,31,25,high school world history,neutral,50,0,34,84,59.52,default,0,
qwen3,14B,4,20,31,25,human aging,neutral,33,0,53,86,38.37,default,0,
qwen3,14B,4,20,31,25,human sexuality,neutral,26,0,27,53,49.06,default,0,
qwen3,14B,4,20,31,25,international law,neutral,29,0,26,55,52.73,default,0,
qwen3,14B,4,20,31,25,jurisprudence,neutral,18,0,25,43,41.86,default,0,
qwen3,14B,4,20,31,25,logical fallacies,neutral,44,0,29,73,60.27,default,0,
qwen3,14B,4,20,31,25,machine learning,neutral,41,0,49,90,45.56,default,0,
qwen3,14B,4,20,31,25,management,neutral,24,0,13,37,64.86,default,0,
qwen3,14B,4,20,31,25,marketing,neutral,50,0,25,75,66.67,default,0,
qwen3,14B,4,20,31,25,matter,neutral,11,0,36,47,23.4,default,0,
