model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,14B,-4,20,31,25,Biology,neutral,286,0,65,351,81.48,default,0,
qwen3,14B,-4,20,31,25,Business,neutral,131,0,429,560,23.39,default,0,
qwen3,14B,-4,20,31,25,Chemistry,neutral,89,0,419,508,17.52,default,0,
qwen3,14B,-4,20,31,25,ComputerScience,neutral,30,0,30,60,50.0,default,0,
qwen3,14B,-4,20,31,25,EECS,neutral,18,0,58,76,23.68,default,0,
qwen3,14B,-4,20,31,25,Economics,neutral,247,0,153,400,61.75,default,0,
qwen3,14B,-4,20,31,25,ElectricCircuits,neutral,14,0,53,67,20.9,default,0,
qwen3,14B,-4,20,31,25,ElectricalMachines,neutral,24,0,78,102,23.53,default,0,
qwen3,14B,-4,20,31,25,Electromagnetics,neutral,20,0,80,100,20.0,default,0,
qwen3,14B,-4,20,31,25,ElectronicCommunications,neutral,33,0,82,115,28.7,default,0,
qwen3,14B,-4,20,31,25,Finance,neutral,13,0,61,74,17.57,default,0,
qwen3,14B,-4,20,31,25,FluidMechanics,neutral,9,0,56,65,13.85,default,0,
qwen3,14B,-4,20,31,25,Genetics,neutral,66,0,81,147,44.9,default,0,
qwen3,14B,-4,20,31,25,HeatTransfer,neutral,20,0,46,66,30.3,default,0,
qwen3,14B,-4,20,31,25,MachineDesign,neutral,8,0,62,70,11.43,default,0,
qwen3,14B,-4,20,31,25,Math,neutral,74,0,270,344,21.51,default,0,
qwen3,14B,-4,20,31,25,Mechanics,neutral,9,0,24,33,27.27,default,0,
qwen3,14B,-4,20,31,25,Optics,neutral,23,0,170,193,11.92,default,0,
qwen3,14B,-4,20,31,25,OrganicChemistry,neutral,5,0,12,17,29.41,default,0,
qwen3,14B,-4,20,31,25,PhysicalChemistry,neutral,29,0,187,216,13.43,default,0,
qwen3,14B,-4,20,31,25,Physics,neutral,101,0,394,495,20.4,default,0,
qwen3,14B,-4,20,31,25,Psychology,neutral,227,0,78,305,74.43,default,0,
qwen3,14B,-4,20,31,25,Thermodynamics,neutral,38,0,131,169,22.49,default,0,
qwen3,14B,-4,20,31,25,TransportPhenomena,neutral,26,0,122,148,17.57,default,0,
qwen3,14B,-4,20,31,25,abstract algebra,neutral,32,0,51,83,38.55,default,0,
